i,j,dist_km
Z0241008,Z0386002,25.397503104372127
Z0241008,Z0386003,25.397503104372127
Z0241008,Z0386004,25.397503104372127
Z0241008,Z0386005,25.397503104372127
Z0241008,Z0386006,25.397503104372127
Z0241008,Z0386007,25.397503104372127
Z0241008,Z0646001,8.867484200464071
Z0241008,Z0646002,8.867484200464071
Z0241008,Z0646003,8.867484200464071
Z0241008,Z0646004,8.867484200464071
Z0241008,Z0899001,9.94468565211168
Z0241008,Z0908001,12.530561630570901
Z0241008,Z0951001,23.359589119434606
Z0241008,Z0951002,23.359589119434606
Z0241008,Z0972001,23.870383289194027
Z0241008,Z1031001,4.7661508544723805
Z0241008,Z1031002,4.7661508544723805
Z0241008,Z1119001,9.16900711828718
Z0241008,Z1169001,4.8282198556029154
Z0241008,Z1367001,9.622777371408837
Z0241008,Z1524001,3.7901193717951975
Z0241008,Z1665001,22.617451066832352
Z0241008,Z1769001,10.369442761545697
Z0241008,Z1899001,9.827676694687232
Z0241008,Z1899002,9.827676694687232
Z0241008,Z2011001,9.767333867589263
Z0241008,Z2135001,8.509623548320798
Z0241008,Z2135002,8.509623548320798
Z0241008,Z2136001,8.803291524704361
Z0276001,Z0276002,0.0
Z0276001,Z0276003,0.0
Z0276001,Z0283001,23.898514243181154
Z0276001,Z0284001,11.309276221090068
Z0276001,Z0386001,14.16126554138038
Z0276001,Z0386002,14.16126554138038
Z0276001,Z0386003,14.16126554138038
Z0276001,Z0386004,14.16126554138038
Z0276001,Z0386005,14.16126554138038
Z0276001,Z0386006,14.16126554138038
Z0276001,Z0386007,14.16126554138038
Z0276001,Z0646001,19.654004172315297
Z0276001,Z0646002,19.654004172315297
Z0276001,Z0646003,19.654004172315297
Z0276001,Z0646004,19.654004172315297
Z0276001,Z0899001,20.67690338515756
Z0276001,Z0908001,23.017311738804306
Z0276001,Z0951001,12.104227236988155
Z0276001,Z0951002,12.104227236988155
Z0276001,Z0972001,33.46667361949143
Z0276001,Z1031001,6.64483375804021
Z0276001,Z1031002,6.64483375804021
Z0276001,Z1119001,3.712258128895317
Z0276001,Z1169001,16.021014203136577
Z0276001,Z1367001,13.636619339867234
Z0276001,Z1524001,15.068223476683032
Z0276001,Z1665001,29.499571318815523
Z0276001,Z1769001,20.968873925062553
Z0276001,Z1899001,20.179847194273222
Z0276001,Z1899002,20.179847194273222
Z0276001,Z2011001,20.114263355462107
Z0276001,Z2135001,19.05654244173918
Z0276001,Z2135002,19.05654244173918
Z0276001,Z2136001,19.936160060279157
Z0276002,Z0276003,0.0
Z0276002,Z0283001,23.898514243181154
Z0276002,Z0284001,11.309276221090068
Z0276002,Z0386001,14.16126554138038
Z0276002,Z0386002,14.16126554138038
Z0276002,Z0386003,14.16126554138038
Z0276002,Z0386004,14.16126554138038
Z0276002,Z0386005,14.16126554138038
Z0276002,Z0386006,14.16126554138038
Z0276002,Z0386007,14.16126554138038
Z0276002,Z0646001,19.654004172315297
Z0276002,Z0646002,19.654004172315297
Z0276002,Z0646003,19.654004172315297
Z0276002,Z0646004,19.654004172315297
Z0276002,Z0899001,20.67690338515756
Z0276002,Z0908001,23.017311738804306
Z0276002,Z0951001,12.104227236988155
Z0276002,Z0951002,12.104227236988155
Z0276002,Z0972001,33.46667361949143
Z0276002,Z1031001,6.64483375804021
Z0276002,Z1031002,6.64483375804021
Z0276002,Z1119001,3.712258128895317
Z0276002,Z1169001,16.021014203136577
Z0276002,Z1367001,13.636619339867234
Z0276002,Z1524001,15.068223476683032
Z0276002,Z1665001,29.499571318815523
Z0276002,Z1769001,20.968873925062553
Z0276002,Z1899001,20.179847194273222
Z0276002,Z1899002,20.179847194273222
Z0276002,Z2011001,20.114263355462107
Z0276002,Z2135001,19.05654244173918
Z0276002,Z2135002,19.05654244173918
Z0276002,Z2136001,19.936160060279157
Z0276003,Z0283001,23.898514243181154
Z0276003,Z0284001,11.309276221090068
Z0276003,Z0386001,14.16126554138038
Z0276003,Z0386002,14.16126554138038
Z0276003,Z0386003,14.16126554138038
Z0276003,Z0386004,14.16126554138038
Z0276003,Z0386005,14.16126554138038
Z0276003,Z0386006,14.16126554138038
Z0276003,Z0386007,14.16126554138038
Z0276003,Z0646001,19.654004172315297
Z0276003,Z0646002,19.654004172315297
Z0276003,Z0646003,19.654004172315297
Z0276003,Z0646004,19.654004172315297
